,algoritmo,instancia,distribuicao,tempo_execucao_s,tempo_execucao_ms
0,insertionSort,20000,C,0.01,10.98
1,insertionSort,20000,D,93.37,93366.73
2,insertionSort,20000,A,45.13,45132.1
3,insertionSort,20000,M,34.14,34137.91
4,insertionSort,10000,C,0.0,4.83
5,insertionSort,10000,D,22.97,22971.44
6,insertionSort,10000,A,11.43,11429.86
7,insertionSort,10000,M,8.77,8772.58
8,insertionSort,5000,C,0.0,2.39
9,insertionSort,5000,D,5.66,5657.0
10,insertionSort,5000,A,2.92,2916.55
11,insertionSort,5000,M,2.12,2123.35
12,insertionSort,2500,C,0.0,1.35
13,insertionSort,2500,D,1.39,1392.09
14,insertionSort,2500,A,0.74,743.31
15,insertionSort,2500,M,0.56,562.61
16,insertionSort,1250,C,0.0,0.61
17,insertionSort,1250,D,0.35,347.92
18,insertionSort,1250,A,0.18,175.19
19,insertionSort,1250,M,0.14,144.14
20,selectionSort,20000,C,61.73,61730.77
21,selectionSort,20000,D,65.29,65293.02
22,selectionSort,20000,A,62.02,62022.02
23,selectionSort,20000,M,60.97,60970.76
24,selectionSort,10000,C,15.54,15544.01
25,selectionSort,10000,D,16.21,16205.24
26,selectionSort,10000,A,15.95,15951.0
27,selectionSort,10000,M,15.16,15159.51
28,selectionSort,5000,C,3.81,3805.33
29,selectionSort,5000,D,4.16,4163.63
30,selectionSort,5000,A,3.95,3954.18
31,selectionSort,5000,M,3.86,3857.38
32,selectionSort,2500,C,0.96,959.09
33,selectionSort,2500,D,1.01,1014.81
34,selectionSort,2500,A,1.02,1015.66
35,selectionSort,2500,M,0.96,960.98
36,selectionSort,1250,C,0.25,251.48
37,selectionSort,1250,D,0.27,265.7
38,selectionSort,1250,A,0.24,240.9
39,selectionSort,1250,M,0.25,254.28
40,mergeSort,20000,C,0.17,169.28
41,mergeSort,20000,D,0.18,181.23
42,mergeSort,20000,A,0.21,211.79
43,mergeSort,20000,M,0.21,207.65
44,mergeSort,10000,C,0.08,84.46
45,mergeSort,10000,D,0.08,81.41
46,mergeSort,10000,A,0.1,101.9
47,mergeSort,10000,M,0.09,88.81
48,mergeSort,5000,C,0.04,37.23
49,mergeSort,5000,D,0.04,42.49
50,mergeSort,5000,A,0.05,46.75
51,mergeSort,5000,M,0.04,43.63
52,mergeSort,2500,C,0.02,18.24
53,mergeSort,2500,D,0.02,18.19
54,mergeSort,2500,A,0.02,20.83
55,mergeSort,2500,M,0.02,20.15
56,mergeSort,1250,C,0.01,8.36
57,mergeSort,1250,D,0.01,11.87
58,mergeSort,1250,A,0.01,9.82
59,mergeSort,1250,M,0.01,9.38
60,heapSort,20000,C,0.1,96.97
61,heapSort,20000,D,0.07,72.23
62,heapSort,20000,A,0.09,88.11
63,heapSort,20000,M,0.08,81.51
64,heapSort,10000,C,0.04,41.39
65,heapSort,10000,D,0.03,34.26
66,heapSort,10000,A,0.04,40.46
67,heapSort,10000,M,0.04,41.51
68,heapSort,5000,C,0.02,19.6
69,heapSort,5000,D,0.02,22.66
70,heapSort,5000,A,0.02,19.54
71,heapSort,5000,M,0.02,20.26
72,heapSort,2500,C,0.01,11.02
73,heapSort,2500,D,0.01,9.3
74,heapSort,2500,A,0.01,11.26
75,heapSort,2500,M,0.01,9.48
76,heapSort,1250,C,0.01,5.02
77,heapSort,1250,D,0.0,4.26
78,heapSort,1250,A,0.0,4.99
79,heapSort,1250,M,0.0,4.92
