,algoritmo,instancia,distribuicao,tempo_execucao_s,tempo_execucao_ms
0,insertionSort,20000,C,0.01,5.86
1,insertionSort,20000,D,55.31,55309.02
2,insertionSort,20000,A,27.4,27403.0
3,insertionSort,20000,M,20.73,20730.97
4,insertionSort,10000,C,0.0,2.93
5,insertionSort,10000,D,13.75,13753.34
6,insertionSort,10000,A,6.99,6989.9
7,insertionSort,10000,M,5.13,5134.23
8,insertionSort,5000,C,0.0,1.95
9,insertionSort,5000,D,3.41,3405.86
10,insertionSort,5000,A,1.7,1703.28
11,insertionSort,5000,M,1.3,1300.75
12,insertionSort,2500,C,0.0,0.98
13,insertionSort,2500,D,0.87,873.6
14,insertionSort,2500,A,0.44,439.0
15,insertionSort,2500,M,0.34,339.68
16,insertionSort,1250,C,0.0,0.98
17,insertionSort,1250,D,0.22,217.04
18,insertionSort,1250,A,0.11,105.09
19,insertionSort,1250,M,0.08,82.11
20,selectionSort,20000,C,33.43,33428.03
21,selectionSort,20000,D,33.39,33385.33
22,selectionSort,20000,A,32.62,32623.87
23,selectionSort,20000,M,33.55,33549.85
24,selectionSort,10000,C,8.38,8376.14
25,selectionSort,10000,D,9.1,9100.07
26,selectionSort,10000,A,8.34,8341.81
27,selectionSort,10000,M,8.31,8313.63
28,selectionSort,5000,C,2.09,2088.1
29,selectionSort,5000,D,2.21,2210.24
30,selectionSort,5000,A,2.08,2075.73
31,selectionSort,5000,M,2.14,2135.4
32,selectionSort,2500,C,0.52,515.32
33,selectionSort,2500,D,0.55,553.12
34,selectionSort,2500,A,0.52,520.66
35,selectionSort,2500,M,0.52,521.02
36,selectionSort,1250,C,0.13,131.51
37,selectionSort,1250,D,0.14,137.84
38,selectionSort,1250,A,0.13,130.0
39,selectionSort,1250,M,0.13,130.07
40,mergeSort,20000,C,0.1,96.77
41,mergeSort,20000,D,0.1,99.23
42,mergeSort,20000,A,0.11,111.92
43,mergeSort,20000,M,0.1,104.12
44,mergeSort,10000,C,0.04,44.95
45,mergeSort,10000,D,0.05,45.93
46,mergeSort,10000,A,0.05,52.31
47,mergeSort,10000,M,0.05,47.88
48,mergeSort,5000,C,0.02,20.52
49,mergeSort,5000,D,0.02,22.47
50,mergeSort,5000,A,0.02,24.43
51,mergeSort,5000,M,0.02,22.47
52,mergeSort,2500,C,0.01,10.75
53,mergeSort,2500,D,0.01,10.75
54,mergeSort,2500,A,0.01,10.75
55,mergeSort,2500,M,0.01,10.75
56,mergeSort,1250,C,0.0,4.89
57,mergeSort,1250,D,0.0,3.91
58,mergeSort,1250,A,0.01,5.86
59,mergeSort,1250,M,0.0,4.89
60,heapSort,20000,C,0.05,49.83
61,heapSort,20000,D,0.04,42.02
62,heapSort,20000,A,0.05,47.88
63,heapSort,20000,M,0.05,46.9
64,heapSort,10000,C,0.02,24.43
65,heapSort,10000,D,0.02,21.5
66,heapSort,10000,A,0.02,24.43
67,heapSort,10000,M,0.02,23.45
68,heapSort,5000,C,0.01,12.7
69,heapSort,5000,D,0.01,10.75
70,heapSort,5000,A,0.01,12.7
71,heapSort,5000,M,0.01,11.72
72,heapSort,2500,C,0.01,5.86
73,heapSort,2500,D,0.01,5.86
74,heapSort,2500,A,0.01,5.86
75,heapSort,2500,M,0.01,5.86
76,heapSort,1250,C,0.0,2.93
77,heapSort,1250,D,0.0,2.93
78,heapSort,1250,A,0.0,2.93
79,heapSort,1250,M,0.0,2.93
